Index	Master TC	Camera Clip Name	Master TC	Lens Focus Distance
      90	01:00:36:12	F003C005_190925_MN99	01:00:36:12	0.561
      91	01:00:36:13	F003C005_190925_MN99	01:00:36:13	0.561
      92	01:00:36:14	F003C005_190925_MN99	01:00:36:14	0.561
      93	01:00:36:15	F003C005_190925_MN99	01:00:36:15	0.561
      94	01:00:36:16	F003C005_190925_MN99	01:00:36:16	0.561
      95	01:00:36:17	F003C005_190925_MN99	01:00:36:17	0.561
      96	01:00:36:18	F003C005_190925_MN99	01:00:36:18	0.561
      97	01:00:36:19	F003C005_190925_MN99	01:00:36:19	0.561
      98	01:00:36:20	F003C005_190925_MN99	01:00:36:20	0.561
      99	01:00:36:21	F003C005_190925_MN99	01:00:36:21	0.561
     100	01:00:36:22	F003C005_190925_MN99	01:00:36:22	0.561
     101	01:00:36:23	F003C005_190925_MN99	01:00:36:23	0.561
     102	01:00:37:00	F003C005_190925_MN99	01:00:37:00	0.561
     103	01:00:37:01	F003C005_190925_MN99	01:00:37:01	0.561
     104	01:00:37:02	F003C005_190925_MN99	01:00:37:02	0.561
     105	01:00:37:03	F003C005_190925_MN99	01:00:37:03	0.561
     106	01:00:37:04	F003C005_190925_MN99	01:00:37:04	0.561
     107	01:00:37:05	F003C005_190925_MN99	01:00:37:05	0.561
     108	01:00:37:06	F003C005_190925_MN99	01:00:37:06	0.561
     109	01:00:37:07	F003C005_190925_MN99	01:00:37:07	0.561
     110	01:00:37:08	F003C005_190925_MN99	01:00:37:08	0.561
     111	01:00:37:09	F003C005_190925_MN99	01:00:37:09	0.561
     112	01:00:37:10	F003C005_190925_MN99	01:00:37:10	0.561
     113	01:00:37:11	F003C005_190925_MN99	01:00:37:11	0.562
     114	01:00:37:12	F003C005_190925_MN99	01:00:37:12	0.565
     115	01:00:37:13	F003C005_190925_MN99	01:00:37:13	0.574
     116	01:00:37:14	F003C005_190925_MN99	01:00:37:14	0.587
     117	01:00:37:15	F003C005_190925_MN99	01:00:37:15	0.601
     118	01:00:37:16	F003C005_190925_MN99	01:00:37:16	0.618
     119	01:00:37:17	F003C005_190925_MN99	01:00:37:17	0.635
     120	01:00:37:18	F003C005_190925_MN99	01:00:37:18	0.653
     121	01:00:37:19	F003C005_190925_MN99	01:00:37:19	0.671
     122	01:00:37:20	F003C005_190925_MN99	01:00:37:20	0.688
     123	01:00:37:21	F003C005_190925_MN99	01:00:37:21	0.705
     124	01:00:37:22	F003C005_190925_MN99	01:00:37:22	0.723
     125	01:00:37:23	F003C005_190925_MN99	01:00:37:23	0.741
     126	01:00:38:00	F003C005_190925_MN99	01:00:38:00	0.758
     127	01:00:38:01	F003C005_190925_MN99	01:00:38:01	0.776
     128	01:00:38:02	F003C005_190925_MN99	01:00:38:02	0.796
     129	01:00:38:03	F003C005_190925_MN99	01:00:38:03	0.818
     130	01:00:38:04	F003C005_190925_MN99	01:00:38:04	0.842
     131	01:00:38:05	F003C005_190925_MN99	01:00:38:05	0.869
     132	01:00:38:06	F003C005_190925_MN99	01:00:38:06	0.896
     133	01:00:38:07	F003C005_190925_MN99	01:00:38:07	0.925
     134	01:00:38:08	F003C005_190925_MN99	01:00:38:08	0.954
     135	01:00:38:09	F003C005_190925_MN99	01:00:38:09	0.983
     136	01:00:38:10	F003C005_190925_MN99	01:00:38:10	1.012
     137	01:00:38:11	F003C005_190925_MN99	01:00:38:11	1.037
     138	01:00:38:12	F003C005_190925_MN99	01:00:38:12	1.055
     139	01:00:38:13	F003C005_190925_MN99	01:00:38:13	1.067
     140	01:00:38:14	F003C005_190925_MN99	01:00:38:14	1.077
     141	01:00:38:15	F003C005_190925_MN99	01:00:38:15	1.086
     142	01:00:38:16	F003C005_190925_MN99	01:00:38:16	1.098
     143	01:00:38:17	F003C005_190925_MN99	01:00:38:17	1.114
     144	01:00:38:18	F003C005_190925_MN99	01:00:38:18	1.134
     145	01:00:38:19	F003C005_190925_MN99	01:00:38:19	1.156
     146	01:00:38:20	F003C005_190925_MN99	01:00:38:20	1.177
     147	01:00:38:21	F003C005_190925_MN99	01:00:38:21	1.198
     148	01:00:38:22	F003C005_190925_MN99	01:00:38:22	1.221
     149	01:00:38:23	F003C005_190925_MN99	01:00:38:23	1.245
     150	01:00:39:00	F003C005_190925_MN99	01:00:39:00	1.272
     151	01:00:39:01	F003C005_190925_MN99	01:00:39:01	1.303
     152	01:00:39:02	F003C005_190925_MN99	01:00:39:02	1.338
     153	01:00:39:03	F003C005_190925_MN99	01:00:39:03	1.375
     154	01:00:39:04	F003C005_190925_MN99	01:00:39:04	1.416
     155	01:00:39:05	F003C005_190925_MN99	01:00:39:05	1.462
     156	01:00:39:06	F003C005_190925_MN99	01:00:39:06	1.512
     157	01:00:39:07	F003C005_190925_MN99	01:00:39:07	1.567
     158	01:00:39:08	F003C005_190925_MN99	01:00:39:08	1.626
     159	01:00:39:09	F003C005_190925_MN99	01:00:39:09	1.683
     160	01:00:39:10	F003C005_190925_MN99	01:00:39:10	1.744
     161	01:00:39:11	F003C005_190925_MN99	01:00:39:11	1.811
     162	01:00:39:12	F003C005_190925_MN99	01:00:39:12	1.885
     163	01:00:39:13	F003C005_190925_MN99	01:00:39:13	1.968
     164	01:00:39:14	F003C005_190925_MN99	01:00:39:14	2.059
     165	01:00:39:15	F003C005_190925_MN99	01:00:39:15	2.155
     166	01:00:39:16	F003C005_190925_MN99	01:00:39:16	2.260
     167	01:00:39:17	F003C005_190925_MN99	01:00:39:17	2.365
     168	01:00:39:18	F003C005_190925_MN99	01:00:39:18	2.469
     169	01:00:39:19	F003C005_190925_MN99	01:00:39:19	2.578
     170	01:00:39:20	F003C005_190925_MN99	01:00:39:20	2.699
     171	01:00:39:21	F003C005_190925_MN99	01:00:39:21	2.844
     172	01:00:39:22	F003C005_190925_MN99	01:00:39:22	3.037
     173	01:00:39:23	F003C005_190925_MN99	01:00:39:23	3.293
     174	01:00:40:00	F003C005_190925_MN99	01:00:40:00	3.601
     175	01:00:40:01	F003C005_190925_MN99	01:00:40:01	3.977
     176	01:00:40:02	F003C005_190925_MN99	01:00:40:02	4.381
     177	01:00:40:03	F003C005_190925_MN99	01:00:40:03	4.786
     178	01:00:40:04	F003C005_190925_MN99	01:00:40:04	5.241
     179	01:00:40:05	F003C005_190925_MN99	01:00:40:05	5.780
     180	01:00:40:06	F003C005_190925_MN99	01:00:40:06	6.385
     181	01:00:40:07	F003C005_190925_MN99	01:00:40:07	7.088
     182	01:00:40:08	F003C005_190925_MN99	01:00:40:08	7.899
     183	01:00:40:09	F003C005_190925_MN99	01:00:40:09	8.918
     184	01:00:40:10	F003C005_190925_MN99	01:00:40:10	10.338
     185	01:00:40:11	F003C005_190925_MN99	01:00:40:11	12.457
     186	01:00:40:12	F003C005_190925_MN99	01:00:40:12	15.774
     187	01:00:40:13	F003C005_190925_MN99	01:00:40:13	21.721
     188	01:00:40:14	F003C005_190925_MN99	01:00:40:14	34.464
     189	01:00:40:15	F003C005_190925_MN99	01:00:40:15	62.680
     190	01:00:40:16	F003C005_190925_MN99	01:00:40:16	145.907
     191	01:00:40:17	F003C005_190925_MN99	01:00:40:17	INF
     192	01:00:40:18	F003C005_190925_MN99	01:00:40:18	INF
     193	01:00:40:19	F003C005_190925_MN99	01:00:40:19	INF
     194	01:00:40:20	F003C005_190925_MN99	01:00:40:20	INF
     195	01:00:40:21	F003C005_190925_MN99	01:00:40:21	INF
     196	01:00:40:22	F003C005_190925_MN99	01:00:40:22	INF
     197	01:00:40:23	F003C005_190925_MN99	01:00:40:23	INF
     198	01:00:41:00	F003C005_190925_MN99	01:00:41:00	INF
     199	01:00:41:01	F003C005_190925_MN99	01:00:41:01	INF
     200	01:00:41:02	F003C005_190925_MN99	01:00:41:02	INF
     201	01:00:41:03	F003C005_190925_MN99	01:00:41:03	INF
     202	01:00:41:04	F003C005_190925_MN99	01:00:41:04	INF
     203	01:00:41:05	F003C005_190925_MN99	01:00:41:05	INF
     204	01:00:41:06	F003C005_190925_MN99	01:00:41:06	INF
     205	01:00:41:07	F003C005_190925_MN99	01:00:41:07	INF
     206	01:00:41:08	F003C005_190925_MN99	01:00:41:08	INF
     207	01:00:41:09	F003C005_190925_MN99	01:00:41:09	INF
     208	01:00:41:10	F003C005_190925_MN99	01:00:41:10	INF
     209	01:00:41:11	F003C005_190925_MN99	01:00:41:11	INF
     210	01:00:41:12	F003C005_190925_MN99	01:00:41:12	INF
     211	01:00:41:13	F003C005_190925_MN99	01:00:41:13	INF
     212	01:00:41:14	F003C005_190925_MN99	01:00:41:14	INF
     213	01:00:41:15	F003C005_190925_MN99	01:00:41:15	INF
     214	01:00:41:16	F003C005_190925_MN99	01:00:41:16	INF
     215	01:00:41:17	F003C005_190925_MN99	01:00:41:17	INF
     216	01:00:41:18	F003C005_190925_MN99	01:00:41:18	INF
     217	01:00:41:19	F003C005_190925_MN99	01:00:41:19	INF
     218	01:00:41:20	F003C005_190925_MN99	01:00:41:20	INF
     219	01:00:41:21	F003C005_190925_MN99	01:00:41:21	INF
     220	01:00:41:22	F003C005_190925_MN99	01:00:41:22	INF
     221	01:00:41:23	F003C005_190925_MN99	01:00:41:23	INF
     222	01:00:42:00	F003C005_190925_MN99	01:00:42:00	INF
     223	01:00:42:01	F003C005_190925_MN99	01:00:42:01	INF
     224	01:00:42:02	F003C005_190925_MN99	01:00:42:02	INF
     225	01:00:42:03	F003C005_190925_MN99	01:00:42:03	INF
     226	01:00:42:04	F003C005_190925_MN99	01:00:42:04	INF
     227	01:00:42:05	F003C005_190925_MN99	01:00:42:05	INF
     228	01:00:42:06	F003C005_190925_MN99	01:00:42:06	INF
     229	01:00:42:07	F003C005_190925_MN99	01:00:42:07	INF
     230	01:00:42:08	F003C005_190925_MN99	01:00:42:08	INF
     231	01:00:42:09	F003C005_190925_MN99	01:00:42:09	INF
     232	01:00:42:10	F003C005_190925_MN99	01:00:42:10	INF
     233	01:00:42:11	F003C005_190925_MN99	01:00:42:11	INF
     234	01:00:42:12	F003C005_190925_MN99	01:00:42:12	INF
     235	01:00:42:13	F003C005_190925_MN99	01:00:42:13	INF
     236	01:00:42:14	F003C005_190925_MN99	01:00:42:14	INF
     237	01:00:42:15	F003C005_190925_MN99	01:00:42:15	INF
     238	01:00:42:16	F003C005_190925_MN99	01:00:42:16	INF
     239	01:00:42:17	F003C005_190925_MN99	01:00:42:17	INF
     240	01:00:42:18	F003C005_190925_MN99	01:00:42:18	INF
     241	01:00:42:19	F003C005_190925_MN99	01:00:42:19	INF
     242	01:00:42:20	F003C005_190925_MN99	01:00:42:20	INF
     243	01:00:42:21	F003C005_190925_MN99	01:00:42:21	INF
     244	01:00:42:22	F003C005_190925_MN99	01:00:42:22	INF
     245	01:00:42:23	F003C005_190925_MN99	01:00:42:23	INF
     246	01:00:43:00	F003C005_190925_MN99	01:00:43:00	INF
     247	01:00:43:01	F003C005_190925_MN99	01:00:43:01	INF
     248	01:00:43:02	F003C005_190925_MN99	01:00:43:02	INF
     249	01:00:43:03	F003C005_190925_MN99	01:00:43:03	INF
     250	01:00:43:04	F003C005_190925_MN99	01:00:43:04	INF
     251	01:00:43:05	F003C005_190925_MN99	01:00:43:05	INF
     252	01:00:43:06	F003C005_190925_MN99	01:00:43:06	INF
