Index	Master TC	Camera Clip Name	Master TC	Lens Focus Distance	Lens Focal Length
     343	00:35:13:12	A001C025_211130_ROI7	00:35:13:12	1.192	27.218
     344	00:35:13:13	A001C025_211130_ROI7	00:35:13:13	1.191	27.359
     345	00:35:13:14	A001C025_211130_ROI7	00:35:13:14	1.190	27.506
     346	00:35:13:15	A001C025_211130_ROI7	00:35:13:15	1.190	27.663
     347	00:35:13:16	A001C025_211130_ROI7	00:35:13:16	1.189	27.817
     348	00:35:13:17	A001C025_211130_ROI7	00:35:13:17	1.189	27.962
     349	00:35:13:18	A001C025_211130_ROI7	00:35:13:18	1.189	28.107
     350	00:35:13:19	A001C025_211130_ROI7	00:35:13:19	1.189	28.246
     351	00:35:13:20	A001C025_211130_ROI7	00:35:13:20	1.188	28.367
     352	00:35:13:21	A001C025_211130_ROI7	00:35:13:21	1.187	28.475
     353	00:35:13:22	A001C025_211130_ROI7	00:35:13:22	1.186	28.572
     354	00:35:13:23	A001C025_211130_ROI7	00:35:13:23	1.185	28.665
     355	00:35:13:24	A001C025_211130_ROI7	00:35:13:24	1.182	28.757
     356	00:35:14:00	A001C025_211130_ROI7	00:35:14:00	1.179	28.861
     357	00:35:14:01	A001C025_211130_ROI7	00:35:14:01	1.177	28.971
     358	00:35:14:02	A001C025_211130_ROI7	00:35:14:02	1.174	29.082
     359	00:35:14:03	A001C025_211130_ROI7	00:35:14:03	1.170	29.194
     360	00:35:14:04	A001C025_211130_ROI7	00:35:14:04	1.165	29.304
     361	00:35:14:05	A001C025_211130_ROI7	00:35:14:05	1.161	29.423
     362	00:35:14:06	A001C025_211130_ROI7	00:35:14:06	1.155	29.554
     363	00:35:14:07	A001C025_211130_ROI7	00:35:14:07	1.148	29.706
     364	00:35:14:08	A001C025_211130_ROI7	00:35:14:08	1.141	29.888
     365	00:35:14:09	A001C025_211130_ROI7	00:35:14:09	1.133	30.171
     366	00:35:14:10	A001C025_211130_ROI7	00:35:14:10	1.125	30.558
     367	00:35:14:11	A001C025_211130_ROI7	00:35:14:11	1.118	30.931
     368	00:35:14:12	A001C025_211130_ROI7	00:35:14:12	1.110	31.232
     369	00:35:14:13	A001C025_211130_ROI7	00:35:14:13	1.103	31.492
     370	00:35:14:14	A001C025_211130_ROI7	00:35:14:14	1.096	31.702
     371	00:35:14:15	A001C025_211130_ROI7	00:35:14:15	1.090	31.823
     372	00:35:14:16	A001C025_211130_ROI7	00:35:14:16	1.084	31.878
     373	00:35:14:17	A001C025_211130_ROI7	00:35:14:17	1.079	31.901
     374	00:35:14:18	A001C025_211130_ROI7	00:35:14:18	1.075	31.912
     375	00:35:14:19	A001C025_211130_ROI7	00:35:14:19	1.070	31.917
     376	00:35:14:20	A001C025_211130_ROI7	00:35:14:20	1.067	31.920
     377	00:35:14:21	A001C025_211130_ROI7	00:35:14:21	1.064	31.920
     378	00:35:14:22	A001C025_211130_ROI7	00:35:14:22	1.062	31.920
     379	00:35:14:23	A001C025_211130_ROI7	00:35:14:23	1.061	31.920
     380	00:35:14:24	A001C025_211130_ROI7	00:35:14:24	1.059	31.923
     381	00:35:15:00	A001C025_211130_ROI7	00:35:15:00	1.058	31.923
     382	00:35:15:01	A001C025_211130_ROI7	00:35:15:01	1.056	31.923
     383	00:35:15:02	A001C025_211130_ROI7	00:35:15:02	1.055	31.923
     384	00:35:15:03	A001C025_211130_ROI7	00:35:15:03	1.053	31.923
     385	00:35:15:04	A001C025_211130_ROI7	00:35:15:04	1.052	31.923
     386	00:35:15:05	A001C025_211130_ROI7	00:35:15:05	1.051	31.923
     387	00:35:15:06	A001C025_211130_ROI7	00:35:15:06	1.049	31.923
     388	00:35:15:07	A001C025_211130_ROI7	00:35:15:07	1.048	31.923
     389	00:35:15:08	A001C025_211130_ROI7	00:35:15:08	1.047	31.923
     390	00:35:15:09	A001C025_211130_ROI7	00:35:15:09	1.047	31.923
     391	00:35:15:10	A001C025_211130_ROI7	00:35:15:10	1.046	31.923
     392	00:35:15:11	A001C025_211130_ROI7	00:35:15:11	1.045	31.925
     393	00:35:15:12	A001C025_211130_ROI7	00:35:15:12	1.043	31.925
     394	00:35:15:13	A001C025_211130_ROI7	00:35:15:13	1.042	31.925
     395	00:35:15:14	A001C025_211130_ROI7	00:35:15:14	1.041	31.925
     396	00:35:15:15	A001C025_211130_ROI7	00:35:15:15	1.040	31.925
     397	00:35:15:16	A001C025_211130_ROI7	00:35:15:16	1.039	31.925
     398	00:35:15:17	A001C025_211130_ROI7	00:35:15:17	1.038	31.925
     399	00:35:15:18	A001C025_211130_ROI7	00:35:15:18	1.036	31.925
     400	00:35:15:19	A001C025_211130_ROI7	00:35:15:19	1.035	31.925
     401	00:35:15:20	A001C025_211130_ROI7	00:35:15:20	1.034	31.925
     402	00:35:15:21	A001C025_211130_ROI7	00:35:15:21	1.033	31.925
     403	00:35:15:22	A001C025_211130_ROI7	00:35:15:22	1.032	31.925
     404	00:35:15:23	A001C025_211130_ROI7	00:35:15:23	1.030	31.925
     405	00:35:15:24	A001C025_211130_ROI7	00:35:15:24	1.029	31.925
     406	00:35:16:00	A001C025_211130_ROI7	00:35:16:00	1.028	31.925
     407	00:35:16:01	A001C025_211130_ROI7	00:35:16:01	1.028	31.925
     408	00:35:16:02	A001C025_211130_ROI7	00:35:16:02	1.027	31.925
     409	00:35:16:03	A001C025_211130_ROI7	00:35:16:03	1.027	31.925
     410	00:35:16:04	A001C025_211130_ROI7	00:35:16:04	1.026	31.925
     411	00:35:16:05	A001C025_211130_ROI7	00:35:16:05	1.026	31.925
     412	00:35:16:06	A001C025_211130_ROI7	00:35:16:06	1.025	31.925
     413	00:35:16:07	A001C025_211130_ROI7	00:35:16:07	1.024	31.925
     414	00:35:16:08	A001C025_211130_ROI7	00:35:16:08	1.023	31.925
     415	00:35:16:09	A001C025_211130_ROI7	00:35:16:09	1.022	31.925
     416	00:35:16:10	A001C025_211130_ROI7	00:35:16:10	1.021	31.925
     417	00:35:16:11	A001C025_211130_ROI7	00:35:16:11	1.020	31.925
     418	00:35:16:12	A001C025_211130_ROI7	00:35:16:12	1.019	31.925
     419	00:35:16:13	A001C025_211130_ROI7	00:35:16:13	1.018	31.925
     420	00:35:16:14	A001C025_211130_ROI7	00:35:16:14	1.017	31.925
     421	00:35:16:15	A001C025_211130_ROI7	00:35:16:15	1.017	31.925
     422	00:35:16:16	A001C025_211130_ROI7	00:35:16:16	1.016	31.925
     423	00:35:16:17	A001C025_211130_ROI7	00:35:16:17	1.016	31.925
     424	00:35:16:18	A001C025_211130_ROI7	00:35:16:18	1.016	31.925
     425	00:35:16:19	A001C025_211130_ROI7	00:35:16:19	1.015	31.925
     426	00:35:16:20	A001C025_211130_ROI7	00:35:16:20	1.014	31.925
     427	00:35:16:21	A001C025_211130_ROI7	00:35:16:21	1.014	31.925
     428	00:35:16:22	A001C025_211130_ROI7	00:35:16:22	1.013	31.925
     429	00:35:16:23	A001C025_211130_ROI7	00:35:16:23	1.013	31.925
     430	00:35:16:24	A001C025_211130_ROI7	00:35:16:24	1.012	31.925
     431	00:35:17:00	A001C025_211130_ROI7	00:35:17:00	1.012	31.925
     432	00:35:17:01	A001C025_211130_ROI7	00:35:17:01	1.012	31.925
     433	00:35:17:02	A001C025_211130_ROI7	00:35:17:02	1.012	31.925
     434	00:35:17:03	A001C025_211130_ROI7	00:35:17:03	1.011	31.925
     435	00:35:17:04	A001C025_211130_ROI7	00:35:17:04	1.011	31.925
     436	00:35:17:05	A001C025_211130_ROI7	00:35:17:05	1.010	31.925
     437	00:35:17:06	A001C025_211130_ROI7	00:35:17:06	1.009	31.925
     438	00:35:17:07	A001C025_211130_ROI7	00:35:17:07	1.009	31.925
     439	00:35:17:08	A001C025_211130_ROI7	00:35:17:08	1.008	31.925
     440	00:35:17:09	A001C025_211130_ROI7	00:35:17:09	1.007	31.925
     441	00:35:17:10	A001C025_211130_ROI7	00:35:17:10	1.007	31.925
     442	00:35:17:11	A001C025_211130_ROI7	00:35:17:11	1.006	31.925
     443	00:35:17:12	A001C025_211130_ROI7	00:35:17:12	1.006	31.925
     444	00:35:17:13	A001C025_211130_ROI7	00:35:17:13	1.005	31.925
     445	00:35:17:14	A001C025_211130_ROI7	00:35:17:14	1.004	31.925
     446	00:35:17:15	A001C025_211130_ROI7	00:35:17:15	1.003	31.925
     447	00:35:17:16	A001C025_211130_ROI7	00:35:17:16	1.002	31.925
     448	00:35:17:17	A001C025_211130_ROI7	00:35:17:17	1.002	31.925
     449	00:35:17:18	A001C025_211130_ROI7	00:35:17:18	1.001	31.925
     450	00:35:17:19	A001C025_211130_ROI7	00:35:17:19	1.001	31.925
     451	00:35:17:20	A001C025_211130_ROI7	00:35:17:20	1.001	31.925
     452	00:35:17:21	A001C025_211130_ROI7	00:35:17:21	1.001	31.925
     453	00:35:17:22	A001C025_211130_ROI7	00:35:17:22	1.000	31.925
     454	00:35:17:23	A001C025_211130_ROI7	00:35:17:23	1.000	31.925
     455	00:35:17:24	A001C025_211130_ROI7	00:35:17:24	1.000	31.925
     456	00:35:18:00	A001C025_211130_ROI7	00:35:18:00	1.000	31.925
     457	00:35:18:01	A001C025_211130_ROI7	00:35:18:01	1.000	31.925
     458	00:35:18:02	A001C025_211130_ROI7	00:35:18:02	1.000	31.925
     459	00:35:18:03	A001C025_211130_ROI7	00:35:18:03	1.000	31.925
     460	00:35:18:04	A001C025_211130_ROI7	00:35:18:04	0.999	31.925
     461	00:35:18:05	A001C025_211130_ROI7	00:35:18:05	0.998	31.925
     462	00:35:18:06	A001C025_211130_ROI7	00:35:18:06	0.998	31.925
     463	00:35:18:07	A001C025_211130_ROI7	00:35:18:07	0.997	31.925
     464	00:35:18:08	A001C025_211130_ROI7	00:35:18:08	0.997	31.925
     465	00:35:18:09	A001C025_211130_ROI7	00:35:18:09	0.997	31.925
     466	00:35:18:10	A001C025_211130_ROI7	00:35:18:10	0.996	31.925
     467	00:35:18:11	A001C025_211130_ROI7	00:35:18:11	0.996	31.925
     468	00:35:18:12	A001C025_211130_ROI7	00:35:18:12	0.996	31.925
     469	00:35:18:13	A001C025_211130_ROI7	00:35:18:13	0.995	31.925
     470	00:35:18:14	A001C025_211130_ROI7	00:35:18:14	0.995	31.925
     471	00:35:18:15	A001C025_211130_ROI7	00:35:18:15	0.994	31.925
     472	00:35:18:16	A001C025_211130_ROI7	00:35:18:16	0.993	31.925
     473	00:35:18:17	A001C025_211130_ROI7	00:35:18:17	0.992	31.925
     474	00:35:18:18	A001C025_211130_ROI7	00:35:18:18	0.992	31.925
     475	00:35:18:19	A001C025_211130_ROI7	00:35:18:19	0.991	31.925
     476	00:35:18:20	A001C025_211130_ROI7	00:35:18:20	0.991	31.925
     477	00:35:18:21	A001C025_211130_ROI7	00:35:18:21	0.991	31.925
     478	00:35:18:22	A001C025_211130_ROI7	00:35:18:22	0.991	31.925
     479	00:35:18:23	A001C025_211130_ROI7	00:35:18:23	0.991	31.925
     480	00:35:18:24	A001C025_211130_ROI7	00:35:18:24	0.990	31.925
     481	00:35:19:00	A001C025_211130_ROI7	00:35:19:00	0.990	31.925
     482	00:35:19:01	A001C025_211130_ROI7	00:35:19:01	0.990	31.925
     483	00:35:19:02	A001C025_211130_ROI7	00:35:19:02	0.989	31.925
     484	00:35:19:03	A001C025_211130_ROI7	00:35:19:03	0.989	31.925
     485	00:35:19:04	A001C025_211130_ROI7	00:35:19:04	0.988	31.925
     486	00:35:19:05	A001C025_211130_ROI7	00:35:19:05	0.987	31.925
     487	00:35:19:06	A001C025_211130_ROI7	00:35:19:06	0.987	31.925
     488	00:35:19:07	A001C025_211130_ROI7	00:35:19:07	0.986	31.925
     489	00:35:19:08	A001C025_211130_ROI7	00:35:19:08	0.986	31.925
     490	00:35:19:09	A001C025_211130_ROI7	00:35:19:09	0.986	31.925
     491	00:35:19:10	A001C025_211130_ROI7	00:35:19:10	0.985	31.925
     492	00:35:19:11	A001C025_211130_ROI7	00:35:19:11	0.985	31.925
     493	00:35:19:12	A001C025_211130_ROI7	00:35:19:12	0.985	31.925
     494	00:35:19:13	A001C025_211130_ROI7	00:35:19:13	0.984	31.925
     495	00:35:19:14	A001C025_211130_ROI7	00:35:19:14	0.984	31.925
     496	00:35:19:15	A001C025_211130_ROI7	00:35:19:15	0.983	31.925
     497	00:35:19:16	A001C025_211130_ROI7	00:35:19:16	0.983	31.925
     498	00:35:19:17	A001C025_211130_ROI7	00:35:19:17	0.983	31.925
     499	00:35:19:18	A001C025_211130_ROI7	00:35:19:18	0.983	31.925
     500	00:35:19:19	A001C025_211130_ROI7	00:35:19:19	0.983	31.925
     501	00:35:19:20	A001C025_211130_ROI7	00:35:19:20	0.983	31.925
     502	00:35:19:21	A001C025_211130_ROI7	00:35:19:21	0.983	31.928
     503	00:35:19:22	A001C025_211130_ROI7	00:35:19:22	0.987	31.928
     504	00:35:19:23	A001C025_211130_ROI7	00:35:19:23	0.990	31.928
     505	00:35:19:24	A001C025_211130_ROI7	00:35:19:24	0.991	31.928
     506	00:35:20:00	A001C025_211130_ROI7	00:35:20:00	0.990	31.928
     507	00:35:20:01	A001C025_211130_ROI7	00:35:20:01	0.980	31.928
     508	00:35:20:02	A001C025_211130_ROI7	00:35:20:02	0.963	31.928
     509	00:35:20:03	A001C025_211130_ROI7	00:35:20:03	0.943	31.928
     510	00:35:20:04	A001C025_211130_ROI7	00:35:20:04	0.921	31.928
     511	00:35:20:05	A001C025_211130_ROI7	00:35:20:05	0.902	31.928
     512	00:35:20:06	A001C025_211130_ROI7	00:35:20:06	0.885	31.928
     513	00:35:20:07	A001C025_211130_ROI7	00:35:20:07	0.871	31.928
     514	00:35:20:08	A001C025_211130_ROI7	00:35:20:08	0.859	31.928
     515	00:35:20:09	A001C025_211130_ROI7	00:35:20:09	0.847	31.928
     516	00:35:20:10	A001C025_211130_ROI7	00:35:20:10	0.838	31.928
     517	00:35:20:11	A001C025_211130_ROI7	00:35:20:11	0.830	31.928
     518	00:35:20:12	A001C025_211130_ROI7	00:35:20:12	0.822	31.928
     519	00:35:20:13	A001C025_211130_ROI7	00:35:20:13	0.816	31.928
     520	00:35:20:14	A001C025_211130_ROI7	00:35:20:14	0.810	31.928
     521	00:35:20:15	A001C025_211130_ROI7	00:35:20:15	0.805	31.928
     522	00:35:20:16	A001C025_211130_ROI7	00:35:20:16	0.800	31.928
     523	00:35:20:17	A001C025_211130_ROI7	00:35:20:17	0.796	31.928
     524	00:35:20:18	A001C025_211130_ROI7	00:35:20:18	0.793	31.928
     525	00:35:20:19	A001C025_211130_ROI7	00:35:20:19	0.789	31.928
     526	00:35:20:20	A001C025_211130_ROI7	00:35:20:20	0.786	31.928
     527	00:35:20:21	A001C025_211130_ROI7	00:35:20:21	0.784	31.928
     528	00:35:20:22	A001C025_211130_ROI7	00:35:20:22	0.781	31.928
     529	00:35:20:23	A001C025_211130_ROI7	00:35:20:23	0.778	31.928
     530	00:35:20:24	A001C025_211130_ROI7	00:35:20:24	0.775	31.928
     531	00:35:21:00	A001C025_211130_ROI7	00:35:21:00	0.773	31.928
     532	00:35:21:01	A001C025_211130_ROI7	00:35:21:01	0.771	31.928
     533	00:35:21:02	A001C025_211130_ROI7	00:35:21:02	0.769	31.928
     534	00:35:21:03	A001C025_211130_ROI7	00:35:21:03	0.768	31.928
     535	00:35:21:04	A001C025_211130_ROI7	00:35:21:04	0.767	31.928
     536	00:35:21:05	A001C025_211130_ROI7	00:35:21:05	0.767	31.928
     537	00:35:21:06	A001C025_211130_ROI7	00:35:21:06	0.767	31.928
     538	00:35:21:07	A001C025_211130_ROI7	00:35:21:07	0.767	31.928
     539	00:35:21:08	A001C025_211130_ROI7	00:35:21:08	0.768	31.928
     540	00:35:21:09	A001C025_211130_ROI7	00:35:21:09	0.768	31.928
     541	00:35:21:10	A001C025_211130_ROI7	00:35:21:10	0.768	31.928
     542	00:35:21:11	A001C025_211130_ROI7	00:35:21:11	0.768	31.928
     543	00:35:21:12	A001C025_211130_ROI7	00:35:21:12	0.768	31.928
     544	00:35:21:13	A001C025_211130_ROI7	00:35:21:13	0.768	31.928
     545	00:35:21:14	A001C025_211130_ROI7	00:35:21:14	0.768	31.928
     546	00:35:21:15	A001C025_211130_ROI7	00:35:21:15	0.768	31.928
     547	00:35:21:16	A001C025_211130_ROI7	00:35:21:16	0.768	31.928
     548	00:35:21:17	A001C025_211130_ROI7	00:35:21:17	0.768	31.928
     549	00:35:21:18	A001C025_211130_ROI7	00:35:21:18	0.768	31.928
     550	00:35:21:19	A001C025_211130_ROI7	00:35:21:19	0.768	31.928
     551	00:35:21:20	A001C025_211130_ROI7	00:35:21:20	0.768	31.928
     552	00:35:21:21	A001C025_211130_ROI7	00:35:21:21	0.768	31.928
     553	00:35:21:22	A001C025_211130_ROI7	00:35:21:22	0.768	31.928
     554	00:35:21:23	A001C025_211130_ROI7	00:35:21:23	0.768	31.928
     555	00:35:21:24	A001C025_211130_ROI7	00:35:21:24	0.768	31.928
     556	00:35:22:00	A001C025_211130_ROI7	00:35:22:00	0.768	31.928
     557	00:35:22:01	A001C025_211130_ROI7	00:35:22:01	0.768	31.928
     558	00:35:22:02	A001C025_211130_ROI7	00:35:22:02	0.768	31.928
     559	00:35:22:03	A001C025_211130_ROI7	00:35:22:03	0.768	31.928
     560	00:35:22:04	A001C025_211130_ROI7	00:35:22:04	0.768	31.928
     561	00:35:22:05	A001C025_211130_ROI7	00:35:22:05	0.768	31.928
     562	00:35:22:06	A001C025_211130_ROI7	00:35:22:06	0.768	31.928
     563	00:35:22:07	A001C025_211130_ROI7	00:35:22:07	0.768	31.928
     564	00:35:22:08	A001C025_211130_ROI7	00:35:22:08	0.768	31.928
     565	00:35:22:09	A001C025_211130_ROI7	00:35:22:09	0.768	31.928
     566	00:35:22:10	A001C025_211130_ROI7	00:35:22:10	0.768	31.928
     567	00:35:22:11	A001C025_211130_ROI7	00:35:22:11	0.768	31.928
     568	00:35:22:12	A001C025_211130_ROI7	00:35:22:12	0.768	31.928
     569	00:35:22:13	A001C025_211130_ROI7	00:35:22:13	0.768	31.928
     570	00:35:22:14	A001C025_211130_ROI7	00:35:22:14	0.768	31.928
     571	00:35:22:15	A001C025_211130_ROI7	00:35:22:15	0.768	31.928
     572	00:35:22:16	A001C025_211130_ROI7	00:35:22:16	0.768	31.928
     573	00:35:22:17	A001C025_211130_ROI7	00:35:22:17	0.768	31.928
     574	00:35:22:18	A001C025_211130_ROI7	00:35:22:18	0.768	31.928
     575	00:35:22:19	A001C025_211130_ROI7	00:35:22:19	0.768	31.928
     576	00:35:22:20	A001C025_211130_ROI7	00:35:22:20	0.768	31.928
     577	00:35:22:21	A001C025_211130_ROI7	00:35:22:21	0.768	31.928
     578	00:35:22:22	A001C025_211130_ROI7	00:35:22:22	0.768	31.928
     579	00:35:22:23	A001C025_211130_ROI7	00:35:22:23	0.768	31.928
     580	00:35:22:24	A001C025_211130_ROI7	00:35:22:24	0.768	31.928
     581	00:35:23:00	A001C025_211130_ROI7	00:35:23:00	0.768	31.928
     582	00:35:23:01	A001C025_211130_ROI7	00:35:23:01	0.768	31.928
     583	00:35:23:02	A001C025_211130_ROI7	00:35:23:02	0.768	31.928
     584	00:35:23:03	A001C025_211130_ROI7	00:35:23:03	0.768	31.928
     585	00:35:23:04	A001C025_211130_ROI7	00:35:23:04	0.768	31.928
     586	00:35:23:05	A001C025_211130_ROI7	00:35:23:05	0.768	31.928
     587	00:35:23:06	A001C025_211130_ROI7	00:35:23:06	0.768	31.928
     588	00:35:23:07	A001C025_211130_ROI7	00:35:23:07	0.768	31.928
     589	00:35:23:08	A001C025_211130_ROI7	00:35:23:08	0.768	31.928
     590	00:35:23:09	A001C025_211130_ROI7	00:35:23:09	0.768	31.928
     591	00:35:23:10	A001C025_211130_ROI7	00:35:23:10	0.768	31.928
     592	00:35:23:11	A001C025_211130_ROI7	00:35:23:11	0.768	31.928
     593	00:35:23:12	A001C025_211130_ROI7	00:35:23:12	0.768	31.928
     594	00:35:23:13	A001C025_211130_ROI7	00:35:23:13	0.768	31.928
     595	00:35:23:14	A001C025_211130_ROI7	00:35:23:14	0.768	31.928
     596	00:35:23:15	A001C025_211130_ROI7	00:35:23:15	0.768	31.928
     597	00:35:23:16	A001C025_211130_ROI7	00:35:23:16	0.768	31.928
     598	00:35:23:17	A001C025_211130_ROI7	00:35:23:17	0.768	31.928
     599	00:35:23:18	A001C025_211130_ROI7	00:35:23:18	0.768	31.928
     600	00:35:23:19	A001C025_211130_ROI7	00:35:23:19	0.768	31.928
     601	00:35:23:20	A001C025_211130_ROI7	00:35:23:20	0.768	31.928
     602	00:35:23:21	A001C025_211130_ROI7	00:35:23:21	0.768	31.928
     603	00:35:23:22	A001C025_211130_ROI7	00:35:23:22	0.768	31.928
     604	00:35:23:23	A001C025_211130_ROI7	00:35:23:23	0.768	31.928
     605	00:35:23:24	A001C025_211130_ROI7	00:35:23:24	0.768	31.928
     606	00:35:24:00	A001C025_211130_ROI7	00:35:24:00	0.768	31.928
     607	00:35:24:01	A001C025_211130_ROI7	00:35:24:01	0.768	31.928
     608	00:35:24:02	A001C025_211130_ROI7	00:35:24:02	0.768	31.928
     609	00:35:24:03	A001C025_211130_ROI7	00:35:24:03	0.768	31.928
     610	00:35:24:04	A001C025_211130_ROI7	00:35:24:04	0.768	31.928
     611	00:35:24:05	A001C025_211130_ROI7	00:35:24:05	0.768	31.928
     612	00:35:24:06	A001C025_211130_ROI7	00:35:24:06	0.768	31.928
     613	00:35:24:07	A001C025_211130_ROI7	00:35:24:07	0.768	31.928
     614	00:35:24:08	A001C025_211130_ROI7	00:35:24:08	0.768	31.928
     615	00:35:24:09	A001C025_211130_ROI7	00:35:24:09	0.768	31.928
     616	00:35:24:10	A001C025_211130_ROI7	00:35:24:10	0.768	31.928
     617	00:35:24:11	A001C025_211130_ROI7	00:35:24:11	0.768	31.928
     618	00:35:24:12	A001C025_211130_ROI7	00:35:24:12	0.768	31.928
     619	00:35:24:13	A001C025_211130_ROI7	00:35:24:13	0.768	31.928
