Index	Master TC	Camera Clip Name	Master TC	Lens Focus Distance	Lens Focal Length
      78	00:35:02:22	A001C025_211130_ROI7	00:35:02:22	1.852	16.023
      79	00:35:02:23	A001C025_211130_ROI7	00:35:02:23	1.852	16.023
      80	00:35:02:24	A001C025_211130_ROI7	00:35:02:24	1.852	16.023
      81	00:35:03:00	A001C025_211130_ROI7	00:35:03:00	1.852	16.023
      82	00:35:03:01	A001C025_211130_ROI7	00:35:03:01	1.852	16.023
      83	00:35:03:02	A001C025_211130_ROI7	00:35:03:02	1.852	16.023
      84	00:35:03:03	A001C025_211130_ROI7	00:35:03:03	1.852	16.023
      85	00:35:03:04	A001C025_211130_ROI7	00:35:03:04	1.852	16.023
      86	00:35:03:05	A001C025_211130_ROI7	00:35:03:05	1.852	16.023
      87	00:35:03:06	A001C025_211130_ROI7	00:35:03:06	1.852	16.023
      88	00:35:03:07	A001C025_211130_ROI7	00:35:03:07	1.852	16.023
      89	00:35:03:08	A001C025_211130_ROI7	00:35:03:08	1.852	16.023
      90	00:35:03:09	A001C025_211130_ROI7	00:35:03:09	1.852	16.023
      91	00:35:03:10	A001C025_211130_ROI7	00:35:03:10	1.852	16.023
      92	00:35:03:11	A001C025_211130_ROI7	00:35:03:11	1.852	16.023
      93	00:35:03:12	A001C025_211130_ROI7	00:35:03:12	1.852	16.023
      94	00:35:03:13	A001C025_211130_ROI7	00:35:03:13	1.852	16.023
      95	00:35:03:14	A001C025_211130_ROI7	00:35:03:14	1.852	16.023
      96	00:35:03:15	A001C025_211130_ROI7	00:35:03:15	1.852	16.023
      97	00:35:03:16	A001C025_211130_ROI7	00:35:03:16	1.852	16.023
      98	00:35:03:17	A001C025_211130_ROI7	00:35:03:17	1.852	16.023
      99	00:35:03:18	A001C025_211130_ROI7	00:35:03:18	1.852	16.023
     100	00:35:03:19	A001C025_211130_ROI7	00:35:03:19	1.852	16.023
     101	00:35:03:20	A001C025_211130_ROI7	00:35:03:20	1.852	16.023
     102	00:35:03:21	A001C025_211130_ROI7	00:35:03:21	1.852	16.023
     103	00:35:03:22	A001C025_211130_ROI7	00:35:03:22	1.852	16.023
     104	00:35:03:23	A001C025_211130_ROI7	00:35:03:23	1.852	16.023
     105	00:35:03:24	A001C025_211130_ROI7	00:35:03:24	1.852	16.023
     106	00:35:04:00	A001C025_211130_ROI7	00:35:04:00	1.852	16.023
     107	00:35:04:01	A001C025_211130_ROI7	00:35:04:01	1.852	16.023
     108	00:35:04:02	A001C025_211130_ROI7	00:35:04:02	1.852	16.023
     109	00:35:04:03	A001C025_211130_ROI7	00:35:04:03	1.852	16.023
     110	00:35:04:04	A001C025_211130_ROI7	00:35:04:04	1.852	16.023
     111	00:35:04:05	A001C025_211130_ROI7	00:35:04:05	1.852	16.023
     112	00:35:04:06	A001C025_211130_ROI7	00:35:04:06	1.852	16.023
     113	00:35:04:07	A001C025_211130_ROI7	00:35:04:07	1.852	16.023
     114	00:35:04:08	A001C025_211130_ROI7	00:35:04:08	1.852	16.023
     115	00:35:04:09	A001C025_211130_ROI7	00:35:04:09	1.852	16.023
     116	00:35:04:10	A001C025_211130_ROI7	00:35:04:10	1.852	16.023
     117	00:35:04:11	A001C025_211130_ROI7	00:35:04:11	1.852	16.023
     118	00:35:04:12	A001C025_211130_ROI7	00:35:04:12	1.852	16.023
     119	00:35:04:13	A001C025_211130_ROI7	00:35:04:13	1.852	16.023
     120	00:35:04:14	A001C025_211130_ROI7	00:35:04:14	1.852	16.023
     121	00:35:04:15	A001C025_211130_ROI7	00:35:04:15	1.852	16.023
     122	00:35:04:16	A001C025_211130_ROI7	00:35:04:16	1.852	16.023
     123	00:35:04:17	A001C025_211130_ROI7	00:35:04:17	1.852	16.023
     124	00:35:04:18	A001C025_211130_ROI7	00:35:04:18	1.852	16.023
     125	00:35:04:19	A001C025_211130_ROI7	00:35:04:19	1.852	16.023
     126	00:35:04:20	A001C025_211130_ROI7	00:35:04:20	1.852	16.023
     127	00:35:04:21	A001C025_211130_ROI7	00:35:04:21	1.852	16.023
     128	00:35:04:22	A001C025_211130_ROI7	00:35:04:22	1.852	16.023
     129	00:35:04:23	A001C025_211130_ROI7	00:35:04:23	1.852	16.023
     130	00:35:04:24	A001C025_211130_ROI7	00:35:04:24	1.852	16.023
     131	00:35:05:00	A001C025_211130_ROI7	00:35:05:00	1.852	16.023
     132	00:35:05:01	A001C025_211130_ROI7	00:35:05:01	1.852	16.023
     133	00:35:05:02	A001C025_211130_ROI7	00:35:05:02	1.852	16.023
     134	00:35:05:03	A001C025_211130_ROI7	00:35:05:03	1.852	16.023
     135	00:35:05:04	A001C025_211130_ROI7	00:35:05:04	1.852	16.023
     136	00:35:05:05	A001C025_211130_ROI7	00:35:05:05	1.852	16.023
     137	00:35:05:06	A001C025_211130_ROI7	00:35:05:06	1.852	16.023
     138	00:35:05:07	A001C025_211130_ROI7	00:35:05:07	1.852	16.023
     139	00:35:05:08	A001C025_211130_ROI7	00:35:05:08	1.852	16.023
     140	00:35:05:09	A001C025_211130_ROI7	00:35:05:09	1.852	16.023
     141	00:35:05:10	A001C025_211130_ROI7	00:35:05:10	1.852	16.023
     142	00:35:05:11	A001C025_211130_ROI7	00:35:05:11	1.852	16.023
     143	00:35:05:12	A001C025_211130_ROI7	00:35:05:12	1.852	16.023
     144	00:35:05:13	A001C025_211130_ROI7	00:35:05:13	1.852	16.023
     145	00:35:05:14	A001C025_211130_ROI7	00:35:05:14	1.852	16.023
     146	00:35:05:15	A001C025_211130_ROI7	00:35:05:15	1.852	16.023
     147	00:35:05:16	A001C025_211130_ROI7	00:35:05:16	1.852	16.023
